epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,5356.51,0.43986,1.08421,0.16064,0.29524,0.91649,0.99883,1,0.995,0.89909,0.99883,1,0.995,0.83159,0.4678,0.70855,0.02866,0.23239,0.8761,0.00165548,0.00165548,0.00165548
89,5393.17,0.43227,1.04189,0.16141,0.28587,0.91692,0.99899,1,0.995,0.92473,0.99899,1,0.995,0.84016,0.43478,0.72817,0.03393,0.22159,0.84998,0.00165152,0.00165152,0.00165152
90,5429.82,0.43608,1.07351,0.16175,0.28838,0.92698,0.99902,1,0.995,0.91139,0.99902,1,0.995,0.85889,0.45533,0.69638,0.03924,0.23626,0.86822,0.00164756,0.00164756,0.00164756
91,5466.11,0.44119,1.05463,0.15678,0.29583,0.92085,0.99894,1,0.995,0.92632,0.99894,1,0.995,0.84005,0.43917,0.77252,0.03551,0.22997,0.84817,0.0016436,0.0016436,0.0016436
92,5502.46,0.43537,1.05117,0.16236,0.29307,0.92037,0.99898,1,0.995,0.92104,0.99898,1,0.995,0.87277,0.43891,0.68475,0.03768,0.2227,0.84931,0.00163964,0.00163964,0.00163964
93,5538.28,0.44281,1.06218,0.15976,0.30085,0.91943,0.99903,1,0.995,0.93273,0.99903,1,0.995,0.86084,0.45073,0.69328,0.03673,0.22921,0.8498,0.00163568,0.00163568,0.00163568
94,5573.27,0.43262,1.13277,0.15825,0.29188,0.91786,0.99903,1,0.995,0.92715,0.99903,1,0.995,0.86052,0.45219,0.70676,0.03073,0.22259,0.85199,0.00163172,0.00163172,0.00163172
95,5608.71,0.42307,1.01793,0.15807,0.28091,0.91422,0.99903,1,0.995,0.92772,0.99903,1,0.995,0.86583,0.42918,0.67245,0.03191,0.21184,0.83211,0.00162776,0.00162776,0.00162776
96,5644.73,0.42481,1.03544,0.15048,0.28201,0.91322,0.99904,1,0.995,0.93772,0.99904,1,0.995,0.86301,0.42897,0.68928,0.03437,0.23219,0.83989,0.0016238,0.0016238,0.0016238
97,5680.22,0.43752,1.09042,0.15906,0.28784,0.92912,0.99897,1,0.995,0.93075,0.99897,1,0.995,0.86928,0.44803,0.64429,0.03805,0.22333,0.8484,0.00161984,0.00161984,0.00161984
98,5715.88,0.43297,1.01152,0.15278,0.28472,0.92122,0.99908,1,0.995,0.92516,0.99908,1,0.995,0.86273,0.45419,0.68932,0.02926,0.21745,0.84893,0.00161588,0.00161588,0.00161588
99,5750.89,0.41925,0.9674,0.14693,0.27934,0.91198,0.99882,1,0.995,0.92265,0.99882,1,0.995,0.87887,0.44712,0.65356,0.04029,0.22343,0.84705,0.00161192,0.00161192,0.00161192
100,5785.48,0.42897,0.9892,0.15745,0.28521,0.91913,0.99897,1,0.995,0.93636,0.99897,1,0.995,0.87298,0.4407,0.63022,0.03778,0.23068,0.85205,0.00160796,0.00160796,0.00160796
101,5820.2,0.43502,1.0001,0.14618,0.28431,0.91891,0.99897,1,0.995,0.91859,0.99897,1,0.995,0.83065,0.44307,0.6992,0.03247,0.24239,0.85456,0.001604,0.001604,0.001604
102,5854.87,0.43747,1.01244,0.15112,0.28278,0.91401,0.99855,1,0.995,0.92434,0.99855,1,0.995,0.85039,0.43532,0.70857,0.02728,0.21997,0.84072,0.00160004,0.00160004,0.00160004
103,5889.66,0.42736,0.95564,0.14384,0.27873,0.92135,0.99905,1,0.995,0.91354,0.99905,1,0.995,0.86678,0.47467,0.6821,0.0344,0.23311,0.86286,0.00159608,0.00159608,0.00159608
104,5924.61,0.42233,1.00282,0.14613,0.28075,0.92058,0.99888,1,0.995,0.93746,0.99888,1,0.995,0.85487,0.43023,0.67491,0.02914,0.21751,0.8502,0.00159212,0.00159212,0.00159212
105,5960.21,0.40135,0.9741,0.14183,0.27644,0.90902,0.99906,1,0.995,0.93387,0.99906,1,0.995,0.88953,0.43404,0.63044,0.03133,0.22194,0.85575,0.00158816,0.00158816,0.00158816
106,5995.46,0.41305,0.91654,0.14591,0.27967,0.91386,0.99876,1,0.995,0.94457,0.99876,1,0.995,0.87878,0.40384,0.63324,0.03005,0.20878,0.83467,0.0015842,0.0015842,0.0015842
107,6030.02,0.42211,0.98802,0.14627,0.28048,0.91214,0.99856,1,0.995,0.93146,0.99856,1,0.995,0.87396,0.43612,0.66186,0.03235,0.21664,0.85283,0.00158024,0.00158024,0.00158024
108,6064.61,0.41466,0.96343,0.14769,0.28015,0.92036,0.99903,1,0.995,0.94104,0.99903,1,0.995,0.87954,0.41516,0.62714,0.02972,0.20588,0.83337,0.00157628,0.00157628,0.00157628
109,6099.13,0.42593,0.9299,0.13687,0.2839,0.91734,0.99905,1,0.995,0.93082,0.99905,1,0.995,0.86754,0.43403,0.64981,0.02637,0.20771,0.85088,0.00157232,0.00157232,0.00157232
110,6134.13,0.41852,0.98138,0.13906,0.27794,0.90724,0.999,1,0.995,0.92999,0.999,1,0.995,0.87353,0.41684,0.66072,0.03198,0.21249,0.84596,0.00156836,0.00156836,0.00156836
111,6168.88,0.41423,0.96144,0.14841,0.28113,0.91455,0.99905,1,0.995,0.93384,0.99905,1,0.995,0.87003,0.41431,0.66152,0.03152,0.21509,0.8433,0.0015644,0.0015644,0.0015644
112,6203.58,0.39406,0.88721,0.13702,0.26309,0.90531,0.99908,1,0.995,0.93258,0.99908,1,0.995,0.87737,0.40951,0.65938,0.03104,0.22206,0.84028,0.00156044,0.00156044,0.00156044
113,6238.7,0.40969,0.92625,0.1405,0.27118,0.91033,0.99901,1,0.995,0.92688,0.99901,1,0.995,0.87324,0.4217,0.6654,0.03311,0.22315,0.83889,0.00155648,0.00155648,0.00155648
114,6273.96,0.41134,0.91048,0.14313,0.27538,0.91461,0.99907,1,0.995,0.93035,0.99907,1,0.995,0.86797,0.42174,0.62911,0.03027,0.21996,0.83445,0.00155252,0.00155252,0.00155252
115,6309.47,0.41067,0.93533,0.13418,0.2732,0.90683,0.99887,1,0.995,0.92835,0.99887,1,0.995,0.88236,0.41837,0.61658,0.02915,0.21453,0.85107,0.00154856,0.00154856,0.00154856
116,6345.06,0.40941,0.9578,0.13904,0.27305,0.90355,0.99891,1,0.995,0.92979,0.99891,1,0.995,0.86297,0.42299,0.62023,0.02855,0.22337,0.83747,0.0015446,0.0015446,0.0015446
117,6381.52,0.41076,0.96904,0.13642,0.27352,0.91633,0.99903,1,0.995,0.94609,0.99903,1,0.995,0.88163,0.40508,0.62963,0.02892,0.21215,0.82494,0.00154064,0.00154064,0.00154064
118,6417.81,0.40933,0.91908,0.13625,0.28009,0.91453,0.99905,1,0.995,0.93675,0.99905,1,0.995,0.8802,0.4384,0.64836,0.03318,0.22094,0.84662,0.00153668,0.00153668,0.00153668
119,6453.6,0.40818,0.91435,0.13796,0.27322,0.91348,0.99905,1,0.995,0.93652,0.99905,1,0.995,0.8879,0.41627,0.65552,0.03197,0.20954,0.8353,0.00153272,0.00153272,0.00153272
120,6489.41,0.41251,0.93269,0.14311,0.27731,0.91849,0.99904,1,0.995,0.93785,0.99904,1,0.995,0.87834,0.41692,0.63404,0.03214,0.2092,0.82964,0.00152876,0.00152876,0.00152876
121,6525.17,0.4022,0.88787,0.13039,0.2696,0.91142,0.99904,1,0.995,0.94456,0.99904,1,0.995,0.89195,0.40613,0.60177,0.02626,0.20597,0.82172,0.0015248,0.0015248,0.0015248
